34.0326412,108.7582951
34.0326850,108.7583032
34.0327052,108.7583967
34.0331735,108.7584679
34.0334868,108.7584794
34.0336703,108.7590831
34.0339990,108.7592342
34.0344134,108.7592383
34.0346685,108.7600880
34.0347981,108.7606931
34.0348520,108.7608720
34.0351737,108.7608801
34.0352091,108.7609269
34.0353219,108.7609391
34.0354011,108.7609472
34.0355549,108.7611635
34.0357621,108.7612564
34.0359366,108.7615597
34.0362186,108.7615735
34.0363441,108.7615867
34.0364222,108.7615906
34.0368436,108.7619666
34.0369904,108.7619752
34.0375465,108.7619954
34.0377882,108.7620100
